C,Si,Mn,P,S,Cr,Ni,Al,Cu,steel_class
"0,210666666666667","0,178833333333333","0,7355","0,0155166666666667","0,0398833333333333","0,0109","0,0398666666666667","0,002","0,111666666666667",St 48
"0,2564","0,177","0,714","0,01228","0,02674","0,00832","0,03946","0,002","0,1128",St 48
"0,232333333333333","0,275666666666667","0,745","0,0312333333333333","0,0530333333333333","0,0181666666666667","0,0808333333333333","0,00346666666666667","0,142333333333333",St 48
"0,228666666666667","0,305666666666667","0,715333333333333","0,0275333333333333","0,0497666666666667","0,00796666666666667","0,0365333333333333","0,0021","0,144",St 48
"0,223333333333333","0,286","0,702666666666667","0,0252666666666667","0,065","0,006","0,0380333333333333","0,00783333333333333","0,140333333333333",St 48
"0,287833333333333","0,116833333333333","0,8515","0,0355","0,0366833333333333","0,00505","0,0355","0,002","0,115",St 48
"0,121888888888889","0,005","0,563444444444444","0,0306666666666667","0,0173","0,00526666666666667","0,0204333333333333","0,00492222222222222","0,285111111111111",St 37
"0,269666666666667","0,005","0,593833333333333","0,0476666666666667","0,03225","0,005","0,0294833333333333","0,0157166666666667","0,02735",St 37
"0,22","0,005","0,574666666666667","0,0532666666666667","0,0340666666666667","0,005","0,0243333333333333","0,00851666666666667","0,0341666666666667",St 37
"0,22325","0,005","0,55975","0,055075","0,03135","0,005","0,0218","0,009025","0,033425",St 37
"0,118166666666667","0,005","0,528833333333333","0,0279666666666667","0,0149","0,005","0,0204166666666667","0,00403333333333333","0,282333333333333",St 37
"0,0811666666666667","0,0051","0,439333333333333","0,00698333333333333","0,0285333333333333","0,005","0,0511333333333333","0,002","0,170166666666667",St 37
"0,166333333333333","0,27","0,806666666666667","0,0221333333333333","0,0438833333333333","0,00506666666666667","0,0546","0,0041","0,1585",St 48
"0,04295","0,005","0,4155","0,0234333333333333","0,0202833333333333","0,00796666666666667","0,0322166666666667","0,002","0,00693333333333333",St 37
"0,1748","0,005","0,4272","0,01196","0,02524","0,005","0,05518","0,002","0,1382",St 37
"0,1805","0,0122","0,4395","0,0112","0,020425","0,005","0,052875","0,0089","0,1345",St 37
"0,187","0,005","0,400666666666667","0,00975","0,0154333333333333","0,005","0,0535666666666667","0,002","0,132833333333333",St 37
"0,283166666666667","0,177166666666667","0,838833333333333","0,0405166666666667","0,0419166666666667","0,0208666666666667","0,06135","0,00208333333333333","0,1495",St 48
"0,3145","0,173833333333333","0,8495","0,04415","0,0457666666666667","0,0266333333333333","0,056","0,002","0,1525",St 48
"0,2185","0,198","0,7255","0,0238666666666667","0,0446833333333333","0,0391833333333333","0,0457666666666667","0,00253333333333333","0,159166666666667",St 48
"0,226833333333333","0,190333333333333","0,734333333333333","0,0241333333333333","0,0427","0,0392166666666667","0,0422666666666667","0,00241666666666667","0,160166666666667",St 48
"0,290333333333333","0,178166666666667","0,844333333333333","0,0407333333333333","0,0407833333333333","0,0198","0,05765","0,00251666666666667","0,149333333333333",St 48
"0,296333333333333","0,169833333333333","0,848","0,0402","0,0445666666666667","0,0267166666666667","0,0564333333333333","0,002","0,149166666666667",St 48
"0,103766666666667","0,882","0,782333333333333","0,0221166666666667","0,0249","0,00695","0,0456","0,002","0,175333333333333",St Si
"0,109333333333333","0,887333333333333","0,772333333333333","0,0200333333333333","0,0247333333333333","0,0069","0,0399333333333333","0,00213333333333333","0,172",St Si
"0,275","0,475","0,944666666666667","0,0462","0,0912666666666667","0,0154666666666667","0,0852666666666667","0,0903333333333333","0,152",St 48
"0,257444444444444","0,461","0,837666666666667","0,0384666666666667","0,0495555555555556","0,0212111111111111","0,0646333333333333","0,00865555555555556","0,161222222222222",St 48
"0,251166666666667","0,110333333333333","0,826","0,0337666666666667","0,03385","0,005","0,0329","0,002","0,1135",St 48
"0,269666666666667","0,104166666666667","0,803833333333333","0,0346666666666667","0,0290833333333333","0,00505","0,03205","0,002","0,114166666666667",St 48
"0,238875","0,00635","0,472125","0,017025","0,0309125","0,008675","0,062625","0,0020625","0,178625",St 48
"0,244444444444444","0,075","0,614777777777778","0,0237555555555556","0,0365444444444444","0,00756666666666667","0,0546444444444444","0,00267777777777778","0,162",St 48
"0,136833333333333","0,260666666666667","0,896","0,03245","0,0420666666666667","0,00925","0,0478","0,00565","0,1685",St 48
"0,310166666666667","0,206833333333333","0,6645","0,01285","0,0391833333333333","0,0295","0,0536333333333333","0,00363333333333333","0,183666666666667",St 48
"0,262777777777778","0,159333333333333","0,838444444444444","0,0360777777777778","0,0463666666666667","0,00542222222222222","0,0353111111111111","0,00861111111111111","0,118222222222222",St 48
"0,258166666666667","0,191833333333333","0,649666666666667","0,00961666666666667","0,0284","0,0319833333333333","0,0507666666666667","0,00236666666666667","0,182666666666667",St 48
"0,282","0,252333333333333","0,858666666666667","0,0401","0,0728666666666667","0,005","0,0351666666666667","0,00246666666666667","0,123",St 48
"0,242","0,215","0,805666666666667","0,036","0,0473","0,00513333333333333","0,0353333333333333","0,00403333333333333","0,124333333333333",St 48
"0,155","0,222666666666667","0,803","0,0263333333333333","0,0530666666666667","0,005","0,0431","0,002","0,156",St 48
"0,189833333333333","0,005","0,571833333333333","0,0524333333333333","0,0321666666666667","0,005","0,0193166666666667","0,00783333333333333","0,0334166666666667",St 48
"0,0701714285714286","1,08428571428571","0,619428571428571","0,0100714285714286","0,0368714285714286","0,005","0,0386142857142857","0,0295","0,0975",St Si
"0,0778333333333333","0,005","0,455666666666667","0,0068","0,0262333333333333","0,005","0,04865","0,002","0,180666666666667",St 37
"0,289666666666667","0,204833333333333","0,530166666666667","0,0248833333333333","0,0445833333333333","0,0349166666666667","0,0493833333333333","0,00208333333333333","0,144333333333333",St 48
"0,0972833333333333","0,975","0,674666666666667","0,0264333333333333","0,0346166666666667","0,00918333333333333","0,0425833333333333","0,00313333333333333","0,198",St Si
"0,132666666666667","0,834166666666667","0,899666666666667","0,01485","0,0475666666666667","0,0234666666666667","0,112166666666667","0,0547333333333333","0,365666666666667",St Si
"0,1596","0,9338","0,9472","0,0152","0,0548","0,0266","0,1207","0,0509","0,4108",St Si
"0,125333333333333","0,792166666666667","0,959333333333333","0,01495","0,0465833333333333","0,02995","0,112666666666667","0,0502666666666667","0,367",St Si
"0,1585","0,8736","0,997","0,0206","0,0546","0,029","0,1208","0,0462","0,3878",St Si
"0,235142857142857","0,238571428571429","0,729142857142857","0,0276857142857143","0,0420857142857143","0,0148857142857143","0,0498714285714286","0,00421428571428571","0,166571428571429",St 48
"0,127","0,760833333333333","0,803666666666667","0,0352","0,0469166666666667","0,0590333333333333","0,0708166666666667","0,00671666666666667","0,164833333333333",St Si
"0,130125","0,438","0,690875","0,02015","0,037025","0,0197625","0,0441625","0,0038125","0,437375",St 48
"0,1435","0,4565","0,78","0,0363","0,043","0,0236","0,0467","0,0021","0,4889",St 48
"0,26175","0,219125","0,524625","0,0206375","0,0397625","0,0354","0,05115","0,0020625","0,14475",St 48
"0,10365","0,8055","0,890166666666667","0,0312666666666667","0,0435833333333333","0,0129666666666667","0,0470333333333333","0,006","0,168333333333333",St Si
"0,19475","0,3205","0,56975","0,0331375","0,05685","0,023175","0,075175","0,0067375","0,28125",St 48
"0,115833333333333","0,848166666666667","0,737","0,0234333333333333","0,0381166666666667","0,05315","0,0698833333333333","0,00623333333333333","0,171666666666667",St Si
"0,1407","0,9378","0,7653","0,0258","0,049","0,0552","0,0752","0,0063","0,1855",St Si
"0,232333333333333","0,226166666666667","0,581166666666667","0,0168333333333333","0,0353333333333333","0,00981666666666667","0,0472666666666667","0,00201666666666667","0,197",St 48
"0,2407","0,2598","0,5825","0,0149","0,0348","0,0145","0,0541","0,0037","0,2083",St 48
"0,3125","0,234333333333333","0,6465","0,0217666666666667","0,0450666666666667","0,00855","0,0495","0,00345","0,1765",St 48
"0,3028","0,2591","0,6928","0,0251","0,0426","0,0132","0,0555","0,0036","0,1968",St 48
"0,2865","0,209333333333333","0,623333333333333","0,0258666666666667","0,0486","0,00936666666666667","0,0509166666666667","0,00253333333333333","0,178833333333333",St 48
"0,2835","0,232666666666667","0,635333333333333","0,0215833333333333","0,0421666666666667","0,00925","0,04965","0,00331666666666667","0,175333333333333",St 48
"0,218333333333333","0,189833333333333","0,720666666666667","0,0404166666666667","0,0538666666666667","0,01805","0,0506166666666667","0,00245","0,178666666666667",St 48
"0,0763","0,005","0,402","0,0166333333333333","0,0179166666666667","0,0436833333333333","0,036","0,002","0,09065",St 37
"0,206166666666667","0,241833333333333","0,568666666666667","0,0169166666666667","0,0336666666666667","0,00798333333333333","0,0506333333333333","0,00323333333333333","0,202666666666667",St 48
"0,204666666666667","0,244666666666667","0,565666666666667","0,0183","0,0364666666666667","0,00818333333333333","0,0511","0,00265","0,204333333333333",St 48
"0,216666666666667","0,235","0,709","0,0442333333333333","0,04245","0,0149","0,0519166666666667","0,002","0,1935",St 48
"0,218833333333333","0,239166666666667","0,720166666666667","0,0479666666666667","0,0516333333333333","0,0156166666666667","0,0524333333333333","0,00238333333333333","0,1965",St 48
"0,2515","0,2579","0,7438","0,052","0,0534","0,0212","0,0555","0,0039","0,2057",St 48
"0,223666666666667","0,238833333333333","0,7085","0,0360333333333333","0,0448666666666667","0,01635","0,0512833333333333","0,00266666666666667","0,193166666666667",St 48
"0,2507","0,2629","0,7432","0,05","0,0539","0,0211","0,0556","0,0031","0,2047",St 48
"0,221666666666667","0,238833333333333","0,711666666666667","0,0442","0,04725","0,0165333333333333","0,0526666666666667","0,00311666666666667","0,192666666666667",St 48
"0,111666666666667","0,684666666666667","0,639833333333333","0,0214166666666667","0,0329833333333333","0,00826666666666667","0,0719333333333334","0,0106666666666667","0,184833333333333",St Si
"0,149666666666667","0,226833333333333","0,539333333333333","0,0173833333333333","0,0342166666666667","0,0092","0,0515666666666667","0,0041","0,195333333333333",St 48
"0,2587","0,2305","0,5743","0,0182","0,0423","0,0152","0,0547","0,0015","0,2113",St 48
"0,156866666666667","0,211166666666667","0,5445","0,0157666666666667","0,0357333333333333","0,00801666666666667","0,0514166666666667","0,00331666666666667","0,202666666666667",St 48
"0,253","0,230166666666667","0,665666666666667","0,0209666666666667","0,0406833333333333","0,00903333333333333","0,0514166666666667","0,00275","0,183",St 48
"0,290166666666667","0,214333333333333","0,666","0,0212","0,0341833333333333","0,00848333333333333","0,0496833333333333","0,00228333333333333","0,1845",St 48
"0,238666666666667","0,2","0,702","0,0439666666666667","0,0605","0,01625","0,0549166666666667","0,00238333333333333","0,185",St 48
"0,0700666666666667","0,00506666666666667","0,428166666666667","0,00836666666666667","0,0175166666666667","0,005","0,0272333333333333","0,002","0,0976833333333333",St 37
"0,138333333333333","0,8105","0,880166666666667","0,03485","0,05105","0,0056","0,0372666666666667","0,00536666666666667","0,143166666666667",St Si
"0,304166666666667","0,193333333333333","0,634666666666667","0,0207","0,0413166666666667","0,00703333333333333","0,0492","0,002","0,185",St 48
"0,2968","0,2047","0,6685","0,0282","0,0476","0,0141","0,0551","0,001","0,1963",St 48
"0,300166666666667","0,193333333333333","0,642333333333333","0,0225166666666667","0,0388666666666667","0,00765","0,0500166666666667","0,002","0,1875",St 48
"0,2605","0,195666666666667","0,546833333333333","0,0179166666666667","0,0542833333333333","0,00995","0,0506666666666667","0,0021","0,202833333333333",St 48
"0,164833333333333","0,2405","0,5615","0,0163666666666667","0,0382833333333333","0,00735","0,0514166666666667","0,00253333333333333","0,202166666666667",St 48
"0,2623","0,2575","0,5937","0,0157","0,0372","0,0147","0,053","0,0026","0,2132",St 48
"0,287","0,233666666666667","0,658333333333333","0,01955","0,0339333333333333","0,00546666666666667","0,0499833333333333","0,00271666666666667","0,1875",St 48
"0,290666666666667","0,230666666666667","0,664833333333333","0,0231666666666667","0,04245","0,00553333333333333","0,0505166666666667","0,002","0,188166666666667",St 48
"0,201166666666667","0,192166666666667","0,6865","0,0477333333333333","0,0577333333333333","0,0162","0,0551166666666667","0,00338333333333333","0,179833333333333",St 48
"0,0688666666666667","0,005","0,392","0,0204666666666667","0,0283333333333333","0,00813333333333333","0,0348333333333333","0,00206666666666667","0,122",St 37
"0,0609833333333333","0,005","0,312333333333333","0,0199166666666667","0,03495","0,0249166666666667","0,0465666666666667","0,002","0,146833333333333",St 37
"0,0584333333333333","0,005","0,392833333333333","0,0289333333333333","0,0303666666666667","0,0215833333333333","0,05235","0,002","0,171833333333333",St 37
"0,279","0,2578","0,5858","0,01698","0,04066","0,01128","0,04776","0,003","0,1714",St 48
"0,249","0,209833333333333","0,535666666666667","0,02205","0,0439833333333333","0,0303666666666667","0,0508833333333333","0,002","0,149166666666667",St 48
"0,257333333333333","0,314","0,593666666666667","0,018","0,0527333333333333","0,012","0,0420666666666667","0,0095","0,156",St 48
"0,3008","0,2893","0,6323","0,0212","0,0428","0,0178","0,0504","0,0117","0,178",St 48
"0,225","0,224","0,51575","0,01785","0,0392","0,02945","0,051275","0,00325","0,14525",St 48
"0,217111111111111","0,213666666666667","0,700333333333333","0,0530333333333333","0,0417444444444444","0,0150111111111111","0,0421111111111111","0,002","0,140666666666667",St 48
"0,148","0,320333333333333","0,566166666666667","0,0270333333333333","0,0604333333333333","0,0221333333333333","0,0771833333333333","0,0092","0,287833333333333",St 48
"0,197833333333333","0,241333333333333","0,5305","0,0124166666666667","0,0336","0,0101333333333333","0,05395","0,00425","0,189666666666667",St 48
"0,278428571428571","0,237571428571429","0,644571428571429","0,0198428571428571","0,0443857142857143","0,00635714285714286","0,0527571428571429","0,00295714285714286","0,185857142857143",St 48
"0,311","0,227833333333333","0,664833333333333","0,0228","0,0496166666666667","0,00631666666666667","0,0525166666666667","0,0027","0,1885",St 48
"0,271666666666667","0,229166666666667","0,647333333333333","0,0189666666666667","0,0420833333333333","0,00583333333333333","0,0503666666666667","0,00271666666666667","0,182333333333333",St 48
"0,2386","0,175","0,6462","0,03926","0,0444","0,01784","0,05522","0,00214","0,1756",St 48
"0,0758666666666667","0,00676666666666667","0,409833333333333","0,0110166666666667","0,02995","0,0071","0,0529833333333333","0,00255","0,122333333333333",St 37
"0,253666666666667","0,282333333333333","0,507","0,01935","0,0353333333333333","0,018","0,0597833333333333","0,00211666666666667","0,192666666666667",St 48
"0,19825","0,308","0,45625","0,01795","0,065275","0,015025","0,055175","0,003075","0,2135",St 48
"0,293","0,305","0,568166666666667","0,0495833333333333","0,0796","0,0121333333333333","0,0491","0,00386666666666667","0,140333333333333",St 48
"0,185666666666667","0,298333333333333","0,468166666666667","0,0211833333333333","0,0655166666666667","0,0140833333333333","0,0532","0,00296666666666667","0,215666666666667",St 48
"0,179333333333333","0,291666666666667","0,4465","0,0217833333333333","0,0607333333333333","0,0144166666666667","0,0538666666666667","0,003","0,211166666666667",St 48
"0,232833333333333","0,297","0,4275","0,0190166666666667","0,0585166666666667","0,0141666666666667","0,0557166666666667","0,00351666666666667","0,186",St 48
"0,305166666666667","0,3025","0,503833333333333","0,0227666666666667","0,04905","0,0179666666666667","0,06225","0,004","0,189333333333333",St 48
"0,186428571428571","0,278428571428571","0,511142857142857","0,0181714285714286","0,0502","0,0102","0,0407428571428571","0,00517142857142857","0,149142857142857",St 48
"0,231666666666667","0,271333333333333","0,5375","0,0192166666666667","0,0419333333333333","0,01175","0,0375666666666667","0,00305","0,138833333333333",St 48
"0,2426","0,29","0,5062","0,01886","0,03544","0,01766","0,05912","0,00264","0,1886",St 48
"0,20025","0,2955","0,4385","0,021875","0,05575","0,014875","0,0527","0,00265","0,2085",St 48
"0,229833333333333","0,297666666666667","0,437333333333333","0,0230833333333333","0,0691333333333333","0,0144166666666667","0,0527166666666667","0,00321666666666667","0,207166666666667",St 48
"0,160166666666667","0,287333333333333","0,5595","0,0244","0,0541833333333333","0,00976666666666667","0,03745","0,0107333333333333","0,146",St 48
"0,2757","0,2914","0,5845","0,0271","0,046","0,016","0,0381","0,0041","0,1455",St 48
"0,205333333333333","0,281","0,559666666666667","0,0508333333333333","0,06425","0,0199666666666667","0,0566666666666667","0,002","0,193166666666667",St 48
"0,2423","0,3044","0,5943","0,0583","0,0788","0,0248","0,0638","0,0023","0,2053",St 48
"0,236666666666667","0,249166666666667","0,540333333333333","0,04255","0,06955","0,0624166666666667","0,19","0,00243333333333333","0,197833333333333",St 48
"0,142783333333333","0,230666666666667","0,7425","0,0165833333333333","0,0408666666666667","0,00573333333333333","0,0271833333333333","0,0369","0,0754333333333333",St 48
"0,275","0,2945","0,532333333333333","0,0173166666666667","0,03455","0,0137166666666667","0,0606","0,00223333333333333","0,203666666666667",St 48
"0,231","0,249285714285714","0,572","0,0335","0,0397571428571429","0,0563857142857143","0,194142857142857","0,00241428571428571","0,197857142857143",St 48
"0,199333333333333","0,265333333333333","0,560166666666667","0,0211166666666667","0,0332","0,05475","0,193166666666667","0,00251666666666667","0,196",St 48
"0,245833333333333","0,2485","0,584666666666667","0,032","0,0439166666666667","0,0563","0,191333333333333","0,00245","0,199666666666667",St 48
"0,2788","0,2696","0,5774","0,0388","0,04942","0,00758","0,04702","0,002","0,1454",St 48
"0,212666666666667","0,256","0,526166666666667","0,0291333333333333","0,04395","0,05085","0,282333333333333","0,00318333333333333","0,221333333333333",St 48
"0,1935","0,2585","0,531666666666667","0,02845","0,04455","0,0516666666666667","0,279333333333333","0,00795","0,221666666666667",St 48
"0,221","0,253166666666667","0,530166666666667","0,0262166666666667","0,0364","0,0537","0,190833333333333","0,0033","0,209166666666667",St 48
"0,0373666666666667","0,005","0,417833333333333","0,00701666666666667","0,0128833333333333","0,005","0,0257333333333333","0,00253333333333333","0,0658666666666667",St 37
"0,282833333333333","0,227666666666667","0,482833333333333","0,0113","0,0299833333333333","0,0207333333333333","0,0500833333333333","0,00228333333333333","0,1605",St 48
"0,198666666666667","0,265666666666667","0,563166666666667","0,0171333333333333","0,0355","0,00773333333333333","0,03595","0,002","0,1465",St 48
"0,265333333333333","0,278333333333333","0,456333333333333","0,01585","0,0396333333333333","0,01035","0,0500666666666667","0,00203333333333333","0,193833333333333",St 48
"0,213666666666667","0,2795","0,561666666666667","0,02025","0,0370666666666667","0,00756666666666667","0,0381166666666667","0,00233333333333333","0,149",St 48
"0,1865","0,274333333333333","0,566166666666667","0,0194166666666667","0,0319833333333333","0,00706666666666667","0,036","0,00226666666666667","0,146333333333333",St 48
"0,119833333333333","0,921833333333333","0,708833333333333","0,0254166666666667","0,0413833333333333","0,01465","0,0801833333333333","0,00451666666666667","0,195",St Si
"0,203666666666667","0,301","0,782166666666667","0,0484166666666667","0,0440333333333333","0,0192","0,0501","0,00271666666666667","0,230166666666667",St 48
"0,256","0,262666666666667","0,617666666666667","0,0299","0,0414166666666667","0,0180833333333333","0,06995","0,00228333333333333","0,182166666666667",St 48
"0,244333333333333","0,238333333333333","0,420666666666667","0,00433333333333333","0,0335333333333333","0,0057","0,0789333333333333","0,0032","0,194333333333333",St 48
"0,128333333333333","0,8685","0,710666666666667","0,0202666666666667","0,0334333333333333","0,0116666666666667","0,04625","0,00358333333333333","0,222333333333333",St Si
"0,196833333333333","0,268166666666667","0,533833333333333","0,0338166666666667","0,0629166666666667","0,0345166666666667","0,117","0,00203333333333333","0,273833333333333",St 48
"0,208","0,259666666666667","0,5375","0,0320833333333333","0,0562","0,03655","0,114666666666667","0,00223333333333333","0,270833333333333",St 48
"0,219833333333333","0,245666666666667","0,557","0,0289166666666667","0,04865","0,0112","0,05105","0,00205","0,196666666666667",St 48
"0,04045","0,005","0,410833333333333","0,00916666666666667","0,0154666666666667","0,0117833333333333","0,06225","0,002","0,111166666666667",St 37
"0,0331","0,204","0,701","0,0291","0,0295","0,0075","0,0343","0,002","0,0989",St 48
"0,162","0,13","0,72","0,0217","0,0411","0,0052","0,039","0,0173","0,108",St 48
"0,144","0,265","0,6","0,0186","0,0261","0,005","0,0447","0,0025","0,13",St 48
"0,264","0,274","0,627","0,0129","0,0312","0,005","0,0396","0,0023","0,143",St 48
"0,255","0,288","0,643","0,0114","0,0577","0,005","0,0273","0,0023","0,102",St 48
"0,248","0,197","0,691","0,0165","0,0309","0,005","0,0294","0,0037","0,101",St 48
"0,21","0,241","0,484","0,0236","0,031","0,005","0,0432","0,0023","0,114",St 48
"0,169","0,227","0,476","0,0374","0,0425","0,074","0,0514","0,002","0,116",St 48
"0,154","0,28","0,502","0,0106","0,0323","0,0139","0,0369","0,0062","0,152",St 48
"0,23","0,209","0,655","0,0179","0,0392","0,005","0,036","0,0032","0,121",St 48
"0,213","0,005","0,562","0,0513","0,073","0,005","0,0265","0,0441","0,0475",St 48-TH
"0,106333333333333","0,257666666666667","0,678","0,0202666666666667","0,0292333333333333","0,0121333333333333","0,0379666666666667","0,00273333333333333","0,122",St 48
"0,276333333333333","0,293666666666667","0,595666666666667","0,0123333333333333","0,0261","0,005","0,0306666666666667","0,0042","0,113",St 48
"0,2357","0,3004","0,6446","0,0157","0,0304","0,0085","0,0333","0,0039","0,1134",St 48
"0,178","0,2358","0,534333333333333","0,03768","0,0438266666666667","0,00784","0,0351933333333333","0,00207333333333333","0,112466666666667",St 48
"0,2608","0,2705","0,5735","0,0749","0,052","0,0102","0,0433","0,0027","0,1148",St 48
"0,241","0,24","0,75","0,039","0,054","0,01","0,03","0,002","0,11",St 48
"0,1895","0,2305","0,518","0,0114333333333333","0,0341","0,00545","0,0447","0,00446666666666667","0,116833333333333",St 48
"0,2102","0,2333","0,5415","0,0126","0,0286","0,0104","0,0461","0,0048","0,1169",St 48
"0,154","0,274666666666667","0,516","0,00846666666666667","0,0477666666666667","0,005","0,0266333333333333","0,002","0,0973666666666667",St 48
"0,308","0,194666666666667","0,642","0,0151","0,0268","0,00516666666666667","0,0277333333333333","0,00383333333333333","0,0949666666666667",St 48
"0,144666666666667","0,00916666666666667","0,374333333333333","0,0097","0,0370333333333333","0,00783333333333333","0,0477","0,0031","0,102",St 37
"0,127666666666667","0,133","0,547666666666667","0,0077","0,0307666666666667","0,006","0,0311333333333333","0,0218666666666667","0,116",St 48
"0,167333333333333","0,231333333333333","0,512333333333333","0,0379666666666667","0,0461333333333333","0,012","0,0312333333333333","0,002","0,109",St 48
"0,186666666666667","0,228","0,509333333333333","0,0256666666666667","0,0369","0,0111666666666667","0,0315333333333333","0,002","0,105666666666667",St 48
"0,204","0,262","0,537333333333333","0,0125333333333333","0,0229666666666667","0,00756666666666667","0,0420666666666667","0,00436666666666667","0,126333333333333",St 48
"0,175","0,26","0,662","0,0194666666666667","0,0227","0,0113","0,0374333333333333","0,00333333333333333","0,121",St 48
"0,213","0,232333333333333","0,532333333333333","0,0247666666666667","0,0388666666666667","0,014","0,0307","0,002","0,105333333333333",St 48
"0,270333333333333","0,295666666666667","0,506333333333333","0,0171166666666667","0,0299666666666667","0,0102166666666667","0,0244333333333333","0,0022","0,1415",St 48
"0,2333","0,2519","0,5643","0,0448","0,0504","0,0179","0,0381","0,0026","0,111",St 48
"0,179166666666667","0,143166666666667","0,673","0,0269833333333333","0,039","0,008","0,0342166666666667","0,0260666666666667","0,105616666666667",St 37
"0,1717","0,1294","0,6271","0,0278","0,0296","0,0146","0,0376","0,0231","0,1068",St 37
"0,303","0,299666666666667","0,715666666666667","0,0236666666666667","0,0682333333333333","0,007","0,0458333333333333","0,00833333333333333","0,0976",St 48
"0,212666666666667","0,25","0,524666666666667","0,0083","0,0199333333333333","0,00886666666666667","0,0395666666666667","0,00386666666666667","0,12",St 48
"0,149333333333333","0,206","0,365","0,0044","0,0222333333333333","0,0205","0,0354666666666667","0,00233333333333333","0,145666666666667",St 37
"0,168","0,263","0,466","0,009","0,0329","0,0135","0,0353","0,0053","0,151",St 37
"0,2","0,29","0,51","0,014","0,033","0,03","0,04","0,005","0,15",St 37
"0,199","0,283","0,513","0,0121","0,0373","0,0149","0,0378","0,0036","0,154",St 37
"0,241333333333333","0,267666666666667","0,574333333333333","0,0102666666666667","0,0429333333333333","0,005","0,0263666666666667","0,002","0,0976666666666667",St 48
"0,199666666666667","0,258","0,673333333333333","0,0222","0,0241333333333333","0,005","0,0208","0,0071","0,0912333333333333",St 48
"0,131","0,005","0,353333333333333","0,0035","0,0111666666666667","0,005","0,0273666666666667","0,002","0,0806333333333333",St 37
"0,1925","0,240333333333333","0,524833333333334","0,0254333333333333","0,0394833333333333","0,01225","0,0341333333333333","0,002","0,109666666666667",St 48
"0,2247","0,2492","0,5651","0,0413","0,0484","0,018","0,0365","0,0039","0,1106",St 48
"0,0449333333333333","0,005","0,448","0,0256666666666667","0,0343","0,0198666666666667","0,0225666666666667","0,002","0,0693333333333333",St 37
"0,194","0,231","0,757","0,0399","0,0535","0,005","0,0391","0,0042","0,116",St 48
"0,202","0,328","0,64","0,0093","0,0358","0,005","0,0272","0,0041","0,12",St 48
"0,184","0,128","0,542","0,0142","0,0573","0,005","0,0388","0,0236","0,13",St 37
"0,222","0,271","0,678","0,0172","0,043","0,005","0,0252","0,002","0,101",St 48
"0,302","0,204","0,691","0,0163","0,0323","0,005","0,0281","0,0038","0,0981",St 48
"0,206","0,422","0,753","0,0211","0,0431","0,0389","0,0255","0,0658","0,256",St 48
"0,201","0,137","0,693","0,0186","0,0438","0,0051","0,0379","0,0176","0,102",St 48
"0,276","0,296","0,701","0,019","0,0323","0,0275","0,065","0,002","0,124",St 48
"0,186","0,268","0,665","0,0165","0,0433","0,005","0,0285","0,002","0,122",St 48
"0,27","0,2","0,689","0,0155","0,0298","0,005","0,0264","0,0038","0,0996",St 48
"0,228","0,246","0,484","0,023","0,0402","0,005","0,0439","0,0021","0,112",St 48
"0,177","0,219","0,444","0,0327","0,0444","0,0705","0,0486","0,0032","0,109",St 48
"0,135","0,258","0,502","0,0089","0,0271","0,0134","0,0344","0,0023","0,149",St 48
"0,179","0,222","0,658","0,0142","0,0379","0,005","0,0361","0,0038","0,12",St 48
"0,155","0,005","0,53","0,0372","0,0372","0,005","0,0244","0,0024","0,0427",St 48-TH
"0,133","0,237","0,732","0,0262","0,0284","0,0052","0,0387","0,0026","0,131",St 48
"0,164","0,12","0,495","0,0084","0,0474","0,005","0,0452","0,0192","0,112",St 37
"0,131","0,207","0,532","0,0353","0,0383","0,005","0,043","0,0021","0,126",St 48
"0,223","0,192","0,434","0,0456","0,067","0,0075","0,0339","0,002","0,101",St 48
"0,215","0,124","0,518","0,0184","0,035","0,005","0,0325","0,0212","0,112",St 48
"0,195","0,315","0,699","0,0173","0,0373","0,0277","0,0684","0,0022","0,129",St 48
"0,195","0,298","0,69","0,0085","0,0377","0,005","0,0228","0,003","0,104",St 48
"0,311","0,197","0,702","0,0193","0,0379","0,005","0,029","0,0038","0,105",St 48
"0,2228","0,2306","0,435","0,00688","0,02866","0,02158","0,0467","0,00266","0,15",St 48
"0,19","0,321666666666667","0,558666666666667","0,0135333333333333","0,0364","0,0430333333333333","0,0692333333333333","0,002","0,135",St 48
"0,284333333333333","0,238666666666667","0,455333333333333","0,0108","0,0388","0,0242","0,0498","0,00263333333333333","0,150333333333333",St 48
"0,17625","0,30725","0,52375","0,01175","0,0306","0,038625","0,0673","0,002","0,13225",St 48
"0,21","0,268666666666667","0,547333333333333","0,0163","0,0370666666666667","0,0444666666666667","0,0677","0,002","0,133333333333333",St 48
"0,273","0,254333333333333","0,554","0,0394333333333333","0,0539","0,0114","0,0444333333333333","0,002","0,138333333333333",St 48
"0,191666666666667","0,304","0,541666666666667","0,0130666666666667","0,0359333333333333","0,0425","0,0695666666666667","0,002","0,134666666666667",St 48
"0,233666666666667","0,24","0,468666666666667","0,00873333333333333","0,0341","0,0229666666666667","0,0486333333333333","0,00303333333333333","0,153333333333333",St 48
"0,3198","0,254","0,5082","0,013","0,0436","0,0269","0,05","0,0052","0,1578",St 48
"0,162333333333333","0,005","0,582666666666667","0,0307","0,0225333333333333","0,0698","0,0763666666666667","0,002","0,0714",St 48-TH
